Nr.,interaction type,GO Term,GO Term 2,MI Term,kinasefamily,kin_phos,Kinase_Phos,Target,pSite,PMID,Pathway,Ppase family
848,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G52890,AT5G65930,,10788494,not specified,
3790,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G52890,AT5G65930,,TAIR,not specified,
971,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT5G65430,,19524572,not specified,
808,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT5G64330,,10542152,signaling.light,
813,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G45780,AT5G64330,,17493935,signaling.light,
827,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT5G64330,,1502518,signaling.light,
3786,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT3G45780,AT5G64330,,TAIR,not specified,
810,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G58140,AT5G58140,,11371609,signaling.light,
823,autophosphorylation,GO:0046777,protein autophosphorylation,no,AGC,kinase,AT5G58140,AT5G58140,,17085510,signaling.light,
3807,interaction,GO:0005515,protein binding,MI:0914,AGC,kinase,AT5G58140,AT5G58140,,TAIR,not specified,
892,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT2G34650,AT5G57090,,20823065,hormone signaling.auxin-transport,
893,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT1G53700,AT5G57090,,20823065,hormone signaling.auxin-transport,
894,protein regulation,GO:0065009,regulation of molecular function,no,AGC,kinase,AT3G14370,AT5G57090,,20823065,hormone signaling.auxin-transport,
898,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT5G57090,S237,20823065,hormone signaling.auxin-transport,
899,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT1G53700,AT5G57090,S237,20823065,hormone signaling.auxin-transport,
900,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G14370,AT5G57090,S237,20823065,hormone signaling.auxin-transport,
901,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT5G57090,S258,20823065,hormone signaling.auxin-transport,
902,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT1G53700,AT5G57090,S258,20823065,hormone signaling.auxin-transport,
903,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G14370,AT5G57090,S258,20823065,hormone signaling.auxin-transport,
904,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT2G34650,AT5G57090,S310,20823065,hormone signaling.auxin-transport,
905,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT1G53700,AT5G57090,S310,20823065,hormone signaling.auxin-transport,
906,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,AGC,kinase,AT3G14370,AT5G57090,S310,20823065,hormone signaling.auxin-transport,
