source	target	interaction	symmetry	weight	negation
at3g13175	at5g20230	ppi	symmetrical	3.2570475915	affirmative
at1g18350	at2g46070	phosphorylation	asymmetrical	1.0	affirmative
at1g14440	at3g28920	ppi	symmetrical	0.0	affirmative
at1g01620	at5g63030	ppi	symmetrical	0.0	affirmative
at3g59420	at2g20300	phosphorylation	asymmetrical	0.0	affirmative
at1g76540	at1g80370	ppi	symmetrical	0.826350355244059	affirmative
at1g51660	at2g29350	regulation	asymmetrical	1.3622946630000001	affirmative
at3g06030	at3g43210	ppi	symmetrical	0.0	affirmative
at2g20180	at4g30960	inhibition	asymmetrical	1.0	affirmative
at4g29810	at4g01370	positive_regulation	asymmetrical	1.0	affirmative
at3g22060	at5g52240	ppi	symmetrical	2.734781253	affirmative
at1g34210	at1g70940	regulation	asymmetrical	1.0	affirmative
at1g17745	at4g34200	ppi	symmetrical	1.7721514585	affirmative
at4g26080	at5g66880	dephosphorylation	asymmetrical	1.2919578935	affirmative
at2g20180	at1g53280	positive_regulation	asymmetrical	1.1172645895	affirmative
at2g20180	at2g26230	positive_regulation	asymmetrical	1.1167032725	affirmative
at1g22920	at5g01750	ppi	symmetrical	1.2566961965	affirmative
at3g44050	at5g58590	ppi	symmetrical	0.0	affirmative
at1g52920	at2g26300	ppi	symmetrical	1.1580650590000001	affirmative
at3g08040	at5g05170	ppi	symmetrical	0.850319666042677	affirmative
at5g13790	at1g53860	positive_regulation	asymmetrical	0.0	affirmative
at4g23400	at5g20230	ppi	symmetrical	0.0	affirmative
at3g11410	at4g17870	ppi	symmetrical	0.0	affirmative
at2g30490	at3g26830	ppi	symmetrical	0.0	affirmative
at1g02170	at1g47710	ppi	symmetrical	1.4040921475	affirmative
at2g20180	at3g19660	positive_regulation	asymmetrical	1.5114617345	affirmative
at3g45640	at2g47060	phosphorylation	asymmetrical	1.5854766465	affirmative
at2g20180	at1g70410	inhibition	asymmetrical	0.0	affirmative
at2g30540	at4g38960	ppi	symmetrical	1.0	affirmative
at1g65690	at3g08680	ppi	symmetrical	0.0	affirmative
at2g31880	at3g45640	regulation	asymmetrical	1.5854766465	affirmative
at3g26980	at5g41700	ppi	symmetrical	1.4667897810000001	affirmative
at2g20180	at4g39270	inhibition	asymmetrical	1.0	affirmative
at3g45780	at3g28860	phosphorylation	asymmetrical	1.0	affirmative
at2g20180	at3g63200	inhibition	asymmetrical	1.0	affirmative
at1g07160	at3g08040	ppi	symmetrical	0.0	affirmative
at1g59580	at4g33540	phosphorylation	asymmetrical	1.705174504	affirmative
at3g08690	at3g49810	ppi	symmetrical	1.17881244	affirmative
at5g40440	at5g20790	regulation	asymmetrical	0.0	affirmative
at1g78300	at1g80080	ppi	symmetrical	0.8161441303781145	affirmative
at3g23150	at5g03730	ppi	symmetrical	1.6476911605	affirmative
at4g09570	at1g45249	phosphorylation	asymmetrical	1.2629625815	affirmative
at1g51660	at1g21130	regulation	asymmetrical	2.7300553905	affirmative
at1g09530	at1g09570	ppi	symmetrical	1.2844767475	affirmative
at2g06510	at2g24490	ppi	symmetrical	1.0	affirmative
at1g20930	at4g37490	ppi	symmetrical	0.8044698584031433	affirmative
at1g61370	at3g08040	ppi	symmetrical	0.0	affirmative
at4g37490	at5g13840	ppi	symmetrical	0.7792661383057928	affirmative
at3g50000	at5g13330	ppi	symmetrical	1.8738688395	affirmative
at1g25330	at4g18710	ppi	symmetrical	1.0	affirmative
at1g34640	at3g16690	ppi	symmetrical	0.0	affirmative
at4g18960	at5g24780	ppi	symmetrical	1.0	affirmative
at2g36010/at5g02470	at4g02070	positive_regulation	asymmetrical	0.0	affirmative
at1g78300	at5g45050	ppi	symmetrical	0.0	affirmative
at3g51920	at5g01890	ppi	symmetrical	1.6179985234999998	affirmative
at2g29360	at5g06060	ppi	symmetrical	1.0	affirmative
at3g13175	at5g06530	ppi	symmetrical	0.0	affirmative
at2g30250	at3g18690	ppi	symmetrical	1.349078194	affirmative
at5g40440	at1g53170	regulation	asymmetrical	1.2551442375	affirmative
at1g23080	at1g65690	ppi	symmetrical	1.962125596	affirmative
at2g29350	at2g29360	ppi	symmetrical	1.3622946630000001	affirmative
at5g05170	at5g52240	ppi	symmetrical	0.0	affirmative
at5g11260	at5g60360	positive_regulation	asymmetrical	1.160233966	affirmative
at2g25490	at3g20770	ppi	symmetrical	1.3530037945	affirmative
at5g24360	at1g42990	regulation	asymmetrical	1.4111434704999999	affirmative
at2g35470	at5g04160	ppi	symmetrical	0.0	affirmative
at1g34640	at4g04750	ppi	symmetrical	1.0	affirmative
at4g24400	at1g08090	regulation	asymmetrical	1.1615263125	affirmative
at5g04510	at3g08730	phosphorylation	asymmetrical	0.0	affirmative
at3g08730	at4g31700	phosphorylation	asymmetrical	0.0	affirmative
at1g12480	at3g50500	ppi	symmetrical	1.1129695115	affirmative
at2g34650	at1g73590	regulation	asymmetrical	1.0	affirmative
at2g40940	at4g30480	ppi	symmetrical	1.4115937525	affirmative
