source	target	interaction	symmetry	weight	negation
at4g36820	at5g37050	ppi	symmetrical	1.0	affirmative
at1g31812	at3g56950	ppi	symmetrical	1.0	affirmative
at4g25360	at5g27370	ppi	symmetrical	1.0	affirmative
at3g59090	at5g52420	ppi	symmetrical	1.0	affirmative
at2g28315	at4g36850	ppi	symmetrical	1.0	affirmative
at1g65690	at2g39060	ppi	symmetrical	1.0	affirmative
at4g02010	at4g18700	ppi	symmetrical	1.0	affirmative
at2g43790	at1g01380	phosphorylation	asymmetrical	1.0	affirmative
at1g17280	at3g49190	ppi	symmetrical	1.0	affirmative
at2g26180	at5g46240	ppi	symmetrical	1.0	affirmative
at3g12180	at5g40380	ppi	symmetrical	1.0	affirmative
at4g13510	at4g35950	ppi	symmetrical	1.4293884985	affirmative
at3g02880	at3g12180	ppi	symmetrical	1.0	affirmative
at4g29330	at5g63770	ppi	symmetrical	1.0	affirmative
at4g28980	at1g66750	positive_regulation	asymmetrical	1.0	affirmative
at2g21237	at3g13175	ppi	symmetrical	1.0	affirmative
at3g22960	at5g58950	ppi	symmetrical	1.0	affirmative
at1g17280	at5g27490	ppi	symmetrical	1.0	affirmative
at1g73500	at2g43790	positive_regulation	asymmetrical	1.0	affirmative
at3g11820	at3g16310	ppi	symmetrical	1.0	affirmative
at2g36330	at5g37050	ppi	symmetrical	1.0	affirmative
at4g17730	at5g13630	ppi	symmetrical	1.0	affirmative
at5g27370	at5g59650	ppi	symmetrical	1.0	affirmative
at3g13175	at5g05170	ppi	symmetrical	1.0	affirmative
at2g41705	at5g55290	ppi	symmetrical	1.0	affirmative
at2g40890	at3g21630	ppi	symmetrical	1.154636283	affirmative
at2g37150	at5g60120	ppi	symmetrical	1.222860012	affirmative
at1g21240	at4g34460	ppi	symmetrical	1.0	affirmative
at3g16250	at3g53900	ppi	symmetrical	1.0	affirmative
at2g43790	at1g02820	phosphorylation	asymmetrical	1.0	affirmative
at1g14700	at4g04750	ppi	symmetrical	0.0	affirmative
at1g47670	at1g59730	ppi	symmetrical	1.0	affirmative
at3g13720	at4g17486	ppi	symmetrical	1.0	affirmative
at2g26180	at3g24460	ppi	symmetrical	1.0	affirmative
at3g01550	at4g35950	ppi	symmetrical	0.0	affirmative
at3g10640	at5g06530	ppi	symmetrical	1.0	affirmative
at3g12180	at5g38970	ppi	symmetrical	1.0	affirmative
at3g45640	at4g38430	phosphorylation	asymmetrical	1.0	affirmative
