TFName	TFLocus	TFFamily	TargetName	TargetLocus	IsTF	TargetType	Confirmation	Category	InteractionType	Reference	Note	PubMedID
FLC	At5g10140	MADS	FT	At1g65480	No	Direct	Confirmed	probable FD co-factor	Repression	Searle et al., 2006. The transcription factor FLC confers a flowering response to vernalization by repressing meristem competence and systemic signaling in Arabidopsis. Genes and Development 20: 898-912	NA	16600915
HY5	At5g11260	bZIP	At1g27480	At1g27480	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At5g53370	At5g53370	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g03630	At1g03630	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	AtbZIP58	At1g13600	Yes	Direct	Confirmed	bZIP Family	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g41670	At2g41670	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g05160	At2g05160	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At2g40170	At2g40170	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At1g62780	At1g62780	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
HY5	At5g11260	bZIP	At4g32190	At4g32190	No	Direct	Confirmed	NA	Repression	Lee et al., 2007. Analysis of transcription factor HY5 genomic binding sites revealed its hierarchical role in light regulation of development. Plant Cell 19(3):731-749	NA	17337630
