ID	official_symbol	virtual	kinase_function	phosphorylation_site
at1g01010	NAC001	normal	no	no
at1g01070	AT1G01070	normal	no	no
at1g01120	KCS1	normal	no	no
at1g01140	CIPK9	normal	yes	yes
at1g01230	AT1G01230	normal	no	no
at1g01240	AT1G01240	normal	no	no
at1g01260	AT1G01260	normal	no	no
at1g01370	HTR12	normal	no	no
at1g01380	ETC1	normal	no	no
at1g01430	TBL25	normal	no	no
at1g01440	AT1G01440	normal	no	yes
at1g01480	ACS2	normal	no	no
at1g01560	MPK11	normal	yes	no
at1g01610	GPAT4	normal	no	yes
at1g01620	PIP1C	normal	no	no
at1g01630	AT1G01630	normal	no	no
at1g01700	ROPGEF2	normal	no	yes
at1g01725	AT1G01725	normal	no	no
at1g01790	KEA1	normal	no	yes
at1g01800	AT1G01800	normal	no	no
at1g01880	AT1G01880	normal	no	yes
at1g01910	AT1G01910	normal	no	no
at1g02070	AT1G02070	normal	no	no
at1g02170	AMC1	normal	no	yes
at1g02280	TOC33	normal	no	yes
at1g02340	HFR1	normal	no	no
at1g02380	AT1G02380	normal	no	yes
at1g02410	AT1G02410	normal	no	no
at1g02450	NIMIN1	normal	no	no
at1g02690	IMPA-6	normal	no	no
at1g02790	PGA4	normal	no	no
at1g02810	AT1G02810	normal	no	no
at1g02820	AT1G02820	normal	no	no
at1g02840	SR1	normal	no	yes
at1g02850	BGLU11	normal	no	yes
at1g02860	NLA	normal	no	yes
at1g02970	WEE1	normal	yes	no
at1g03040	AT1G03040	normal	no	no
at1g03070	AT1G03070	normal	no	no
at1g03130	PSAD-2	normal	no	yes
at1g03140	AT1G03140	normal	no	yes
at1g03250	AT1G03250	normal	no	no
at1g03270	AT1G03270	normal	no	no
at1g03290	AT1G03290	normal	no	yes
at1g03340	AT1G03340	normal	no	yes
at1g03380	ATG18G	normal	no	no
at1g03457	AT1G03457	normal	no	no
at1g03470	AT1G03470	normal	no	no
at1g03600	PSB27	normal	no	no
at1g03680	THM1	normal	no	no
at1g03730	AT1G03730	normal	no	no
at1g03850	AT1G03850	normal	no	no
at1g03950	VPS2.3	normal	no	no
at1g03970	GBF4	normal	no	yes
at1g04020	BARD1	normal	no	yes
at1g04250	AXR3	normal	no	no
at1g04310	ERS2	normal	yes	no
at1g04330	AT1G04330	normal	no	no
at1g04340	AT1G04340	normal	no	no
at1g04360	AT1G04360	normal	no	no
at1g04430	AT1G04430	normal	no	no
at1g04450	RIC3	normal	no	yes
at1g04480	AT1G04480	normal	no	yes
at1g04650	AT1G04650	normal	no	no
at1g04750	VAMP721	normal	no	yes
at1g04810	AT1G04810	normal	no	no
at1g04820	TUA4	normal	no	yes
at1g04930	AT1G04930	normal	no	no
at1g04960	AT1G04960	normal	no	no
at1g04990	AT1G04990	normal	no	yes
at1g05000	AT1G05000	normal	no	no
at1g05010	EFE	normal	no	no
at1g05200	GLR3.4	normal	no	no
at1g05560	UGT75B1	normal	no	no
at1g05575	AT1G05575	normal	no	no
at1g05580	CHX23	normal	no	no
at1g05640	AT1G05640	normal	no	no
at1g05680	UGT74E2	normal	no	no
at1g05710	AT1G05710	normal	no	no
at1g05805	AT1G05805	normal	no	yes
at1g05860	AT1G05860	normal	no	no
at1g06040	STO	normal	no	no
at1g06070	AT1G06070	normal	no	yes
at1g06160	ORA59	normal	no	no
at1g06220	MEE5	normal	no	yes
at1g06225	CLE3	normal	no	no
at1g06390	GSK1	normal	yes	no
at1g06510	AT1G06510	normal	no	no
at1g06590	AT1G06590	normal	no	yes
at1g06640	AT1G06640	normal	no	no
at1g06680	PSBP-1	normal	no	yes
at1g06700	AT1G06700	normal	no	no
at1g06760	AT1G06760	normal	no	no
at1g06840	AT1G06840	normal	yes	yes
at1g06890	AT1G06890	normal	no	yes
at1g06910	TRFL7	normal	no	yes
at1g07000	EXO70B2	normal	no	yes
at1g07140	SIRANBP	normal	no	yes
at1g07160	AT1G07160	normal	no	no
at1g07210	AT1G07210	normal	no	no
at1g07240	UGT71C5	normal	no	no
at1g07270	AT1G07270	normal	no	yes
at1g07350	AT1G07350	normal	no	yes
at1g07370	PCNA1	normal	no	no
at1g07430	HAI2	normal	no	no
at1g07450	AT1G07450	normal	no	no
at1g07530	SCL14	normal	no	yes
at1g07550	AT1G07550	normal	yes	no
at1g07560	AT1G07560	normal	yes	no
at1g07570	APK1A	normal	no	yes
at1g07640	OBP2	normal	no	no
at1g07650	AT1G07650	normal	yes	yes
at1g07660	AT1G07660	normal	no	yes
at1g07750	AT1G07750	normal	no	no
at1g07820	AT1G07820	normal	no	no
at1g07860	AT1G07860	normal	no	no
at1g07890	APX1	normal	no	no
at1g08060	MOM	normal	no	yes
at1g08090	NRT2:1	normal	no	yes
at1g08140	CHX6A	normal	no	no
at1g08320	AT1G08320	normal	no	no
at1g08360	AT1G08360	normal	no	no
at1g08430	ALMT1	normal	no	no
at1g08450	CRT3	normal	no	no
at1g08560	SYP111	normal	no	no
at1g08590	AT1G08590	normal	yes	no
at1g08630	THA1	normal	no	no
at1g08770	PRA1.E	normal	no	no
at1g08810	MYB60	normal	no	no
at1g08830	CSD1	normal	no	no
at1g08860	BON3	normal	no	no
at1g08890	AT1G08890	normal	no	no
at1g08920	ESL1	normal	no	no
at1g08930	ERD6	normal	no	yes
at1g08960	CAX11	normal	no	no
at1g08970	NF-YC9	normal	no	no
at1g08980	AMI1	normal	no	no
at1g09000	NP1	normal	yes	no
at1g09080	BIP3	normal	no	yes
at1g09100	RPT5B	normal	no	yes
at1g09200	AT1G09200	normal	no	no
at1g09250	AT1G09250	normal	no	yes
at1g09270	IMPA-4	normal	no	no
at1g09310	AT1G09310	normal	no	yes
at1g09380	AT1G09380	normal	no	no
at1g09415	NIMIN-3	normal	no	no
at1g09530	PIF3	normal	no	no
at1g09570	PHYA	normal	yes	no
at1g09580	AT1G09580	normal	no	no
at1g09630	RAB11c	normal	no	no
at1g09770	CDC5	normal	no	yes
at1g09840	SK41	normal	yes	yes
at1g09860	PUP16	normal	no	no
at1g09960	SUT4	normal	no	no
at1g10020	AT1G10020	normal	no	yes
at1g10030	ERG28	normal	no	no
at1g10070	BCAT-2	normal	no	no
at1g10090	AT1G10090	normal	no	yes
at1g10210	MPK1	normal	yes	no
at1g10230	SK18	normal	no	no
at1g10360	GSTU18	normal	no	no
at1g10470	ARR4	normal	yes	yes
at1g10530	AT1G10530	normal	no	no
at1g10590	AT1G10590	normal	no	no
at1g10660	AT1G10660	normal	no	no
at1g10740	AT1G10740	normal	no	no
at1g10760	SEX1	normal	yes	yes
at1g10790	AT1G10790	normal	no	no
at1g10830	Z-ISO	normal	no	yes
at1g10940	AT1G10940	normal	yes	yes
at1g10950	TMN1	normal	no	no
at1g10990	AT1G10990	normal	no	yes
at1g11000	MLO4	normal	no	no
at1g11020	AT1G11020	normal	no	no
at1g11050	AT1G11050	normal	yes	no
at1g11180	AT1G11180	normal	no	yes
at1g11270	AT1G11270	normal	no	no
at1g11310	MLO2	normal	no	yes
at1g11330	AT1G11330	normal	yes	yes
at1g11350	SD1-13	normal	yes	yes
at1g11360	AT1G11360	normal	no	yes
at1g11450	AT1G11450	normal	no	no
at1g11540	AT1G11540	normal	no	no
at1g11545	XTH8	normal	no	no
at1g11600	CYP77B1	normal	no	no
at1g11680	CYP51G1	normal	no	no
at1g11840	GLX1	normal	no	no
at1g11890	SEC22	normal	no	no
at1g11910	APA1	normal	no	no
at1g11915	AT1G11915	normal	no	no
at1g11940	AT1G11940	normal	no	yes
at1g12110	NRT1.1	normal	no	no
at1g12220	RPS5	normal	no	no
at1g12310	AT1G12310	normal	no	no
at1g12360	KEU	normal	no	yes
at1g12460	AT1G12460	normal	yes	no
at1g12480	OZS1	normal	no	no
at1g12520	CCS	normal	no	no
at1g12570	AT1G12570	normal	no	no
at1g12650	AT1G12650	normal	no	no
at1g12670	AT1G12670	normal	no	no
at1g12680	PEPKR2	normal	yes	yes
at1g12750	RBL6	normal	no	no
at1g12840	DET3	normal	no	yes
at1g12860	SCRM2	normal	no	no
at1g12920	ERF1-2	normal	no	yes
at1g13140	CYP86C3	normal	no	yes
at1g13210	ACA.l	normal	no	no
at1g13270	MAP1C	normal	no	no
at1g13390	AT1G13390	normal	no	no
at1g13450	AT1G13450	normal	no	no
at1g13520	AT1G13520	normal	no	no
at1g13580	LAG13	normal	no	yes
at1g13600	bZIP58	normal	no	no
at1g13680	AT1G13680	normal	no	no
at1g13770	RUS3	normal	no	no
at1g13870	DRL1	normal	no	yes
at1g13890	SNAP30	normal	no	yes
at1g14020	AT1G14020	normal	no	yes
at1g14260	AT1G14260	normal	no	no
at1g14280	PKS2	normal	no	yes
at1g14340	AT1G14340	normal	no	no
at1g14360	UTR3	normal	no	no
at1g14370	APK2A	normal	yes	no
at1g14390	AT1G14390	normal	yes	yes
at1g14400	UBC1	normal	no	no
at1g14440	HB31	normal	no	no
at1g14540	AT1G14540	normal	no	no
at1g14560	AT1G14560	normal	no	yes
at1g14660	NHX8	normal	no	no
at1g14670	AT1G14670	normal	no	no
at1g14686	AT1G14686	normal	no	no
at1g14687	HB32	normal	no	no
at1g14700	PAP3	normal	no	yes
at1g14810	AT1G14810	normal	no	no
at1g14920	GAI	normal	no	no
at1g14990	AT1G14990	normal	no	no
at1g15150	AT1G15150	normal	no	no
at1g15170	AT1G15170	normal	no	no
at1g15180	AT1G15180	normal	no	no
at1g15210	PDR7	normal	no	yes
at1g15260	AT1G15260	normal	no	no
at1g15370	AT1G15370	normal	no	no
at1g15400	AT1G15400	normal	no	yes
at1g15430	AT1G15430	normal	no	yes
at1g15500	ATNTT2	normal	no	yes
at1g15550	GA3OX1	normal	no	no
at1g15570	CYCA2;3	normal	no	yes
at1g15580	IAA5	normal	no	no
at1g15610	AT1G15610	normal	no	no
at1g15670	AT1G15670	normal	no	yes
at1g15690	AVP1	normal	no	yes
at1g15700	ATPC2	normal	no	yes
at1g15750	TPL	normal	no	yes
at1g15760	AT1G15760	normal	no	no
at1g15820	LHCB6	normal	no	yes
at1g15880	GOS11	normal	no	yes
at1g15900	AT1G15900	normal	no	no
at1g16010	MGT2	normal	no	yes
at1g16070	TLP8	normal	no	no
at1g16170	AT1G16170	normal	no	yes
at1g16260	AT1G16260	normal	yes	yes
at1g16330	CYCB3;1	normal	yes	yes
at1g16410	CYP79F1	normal	no	no
at1g16420	MC8	normal	no	no
at1g16560	AT1G16560	normal	no	no
at1g16670	AT1G16670	normal	yes	no
at1g16700	AT1G16700	normal	no	no
at1g16860	AT1G16860	normal	no	yes
at1g17080	AT1G17080	normal	no	no
at1g17140	ICR1	normal	no	yes
at1g17180	GSTU25	normal	no	no
at1g17190	GSTU26	normal	no	no
at1g17200	AT1G17200	normal	no	yes
at1g17280	UBC34	normal	no	no
at1g17420	LOX3	normal	no	no
at1g17460	TRFL3	normal	no	no
at1g17520	AT1G17520	normal	no	no
at1g17590	NF-YA8	normal	no	no
at1g17745	AT1G17745	normal	no	yes
at1g17830	AT1G17830	normal	no	no
at1g17840	WBC11	normal	no	yes
at1g17860	AT1G17860	normal	no	no
at1g17970	AT1G17970	normal	no	no
at1g18040	CDKD1;3	normal	yes	no
at1g18080	ATARCA	normal	no	no
at1g18150	ATMPK8	normal	yes	yes
at1g18330	EPR1	normal	no	no
at1g18350	MKK7	normal	yes	no
at1g18380	at1g18380	normal	no	no
at1g18390	AT1G18390	normal	yes	yes
at1g18410	AT1G18410	normal	no	no
at1g18440	AT1G18440	normal	no	no
at1g18470	AT1G18470	normal	no	no
at1g18520	TET11	normal	no	no
at1g18570	MYB51	normal	no	no
at1g18600	RBL12	normal	no	no
at1g18620	AT1G18620	normal	no	yes
at1g18650	PDCB3	normal	no	no
at1g18660	AT1G18660	normal	no	no
at1g18720	AT1G18720	normal	no	no
at1g18730	NDF6	normal	no	no
at1g18880	AT1G18880	normal	no	no
at1g18890	CDPK1	normal	yes	yes
at1g19020	AT1G19020	normal	no	yes
at1g19050	ARR7	normal	no	yes
at1g19130	AT1G19130	normal	no	yes
at1g19180	JAZ1	normal	no	no
at1g19220	ARF19	normal	no	no
at1g19240	AT1G19240	normal	no	no
at1g19350	BES1	normal	no	yes
at1g19570	DHAR1	normal	no	no
at1g19670	CLH1	normal	no	no
at1g19680	AT1G19680	normal	no	no
at1g19700	BEL10	normal	no	yes
at1g19800	TGD1	normal	no	no
at1g19830	AT1G19830	normal	no	no
at1g19850	MP	normal	no	no
at1g19980	AT1G19980	normal	no	no
at1g20010	TUB5	normal	no	no
at1g20030	AT1G20030	normal	no	no
at1g20140	SK4	normal	no	no
at1g20260	AT1G20260	normal	no	yes
at1g20360	AT1G20360	normal	no	no
at1g20440	COR47	normal	no	yes
at1g20490	AT1G20490	normal	no	no
at1g20510	OPCL1	normal	no	no
at1g20610	CYCB2;3	normal	no	no
at1g20620	CAT3	normal	no	yes
at1g20630	CAT1	normal	no	yes
at1g20650	AT1G20650	normal	yes	yes
at1g20693	HMGB2	normal	no	yes
at1g20700	WOX14	normal	no	no
at1g20760	AT1G20760	normal	no	yes
at1g20930	CDKB2;2	normal	yes	yes
at1g20950	AT1G20950	normal	yes	yes
at1g20960	emb1507	normal	no	no
at1g21000	AT1G21000	normal	no	yes
at1g21010	AT1G21010	normal	no	no
at1g21100	AT1G21100	normal	no	no
at1g21120	AT1G21120	normal	no	no
at1g21130	AT1G21130	normal	no	no
at1g21210	WAK4	normal	yes	no
at1g21230	WAK5	normal	yes	no
at1g21240	WAK3	normal	yes	yes
at1g21250	WAK1	normal	yes	no
at1g21270	WAK2	normal	yes	no
at1g21450	SCL1	normal	no	no
at1g21460	AT1G21460	normal	no	no
at1g21550	AT1G21550	normal	no	no
at1g21590	AT1G21590	normal	yes	no
at1g21700	SWI3C	normal	no	no
at1g21810	AT1G21810	normal	no	yes
at1g21870	GONST5	normal	no	no
at1g21970	LEC1	normal	no	no
at1g22015	DD46	normal	no	no
at1g22050	MUB6	normal	no	no
at1g22060	AT1G22060	normal	no	yes
at1g22070	TGA3	normal	no	no
at1g22160	AT1G22160	normal	no	yes
at1g22280	PAPP2C	normal	no	yes
at1g22300	GRF10	normal	no	yes
at1g22430	AT1G22430	normal	no	yes
at1g22510	AT1G22510	normal	no	no
at1g22530	PATL2	normal	no	yes
at1g22710	SUC2	normal	no	no
at1g22760	PAB3	normal	no	no
at1g22840	CYTC-1	normal	no	no
at1g22920	CSN5A	normal	no	yes
at1g22985	AT1G22985	normal	no	no
at1g23080	PIN7	normal	no	yes
at1g23090	AST91	normal	no	no
at1g23190	AT1G23190	normal	no	yes
at1g23380	KNAT6	normal	no	yes
at1g23530	AT1G23530	normal	no	no
at1g23550	SRO2	normal	no	no
at1g23730	BCA3	normal	no	yes
at1g23780	AT1G23780	normal	no	no
at1g23860	RSZP21	normal	no	yes
at1g24020	MLP423	normal	no	no
at1g24140	AT1G24140	normal	no	no
at1g24150	FH4	normal	no	yes
at1g24170	LGT9	normal	no	no
at1g24280	G6PD3	normal	no	no
at1g24290	AT1G24290	normal	no	no
at1g24400	LHT2	normal	no	no
at1g24440	AT1G24440	normal	no	no
at1g24625	ZFP7	normal	no	no
at1g24650	AT1G24650	normal	no	no
at1g25275	AT1G25275	normal	no	yes
at1g25320	AT1G25320	normal	no	yes
at1g25330	AT1G25330	normal	no	no
at1g25340	MYB116	normal	no	no
at1g25380	NDT2	normal	no	no
at1g25490	RCN1	normal	no	yes
at1g25510	AT1G25510	normal	no	no
at1g25540	PFT1	normal	no	no
at1g25550	AT1G25550	normal	no	yes
at1g25560	TEM1	normal	no	no
at1g26110	DCP5	normal	no	yes
at1g26180	AT1G26180	normal	no	yes
at1g26260	CIB5	normal	no	no
at1g26270	AT1G26270	normal	no	yes
at1g26380	AT1G26380	normal	no	no
at1g26410	AT1G26410	normal	no	yes
at1g26420	AT1G26420	normal	no	no
at1g26480	GRF12	normal	no	yes
at1g26550	AT1G26550	normal	no	no
at1g26630	FBR12	normal	no	yes
at1g26670	VTI1B	normal	no	no
at1g26740	AT1G26740	normal	no	no
at1g26800	AT1G26800	normal	no	no
at1g26830	CUL3	normal	no	no
at1g26840	ORC6	normal	no	no
at1g27030	AT1G27030	normal	no	no
at1g27060	AT1G27060	normal	no	no
at1g27080	NRT1.6	normal	no	no
at1g27190	AT1G27190	normal	yes	yes
at1g27290	AT1G27290	normal	no	no
at1g27300	AT1G27300	normal	no	yes
at1g27450	APT1	normal	no	no
at1g27540	AT1G27540	normal	no	yes
at1g27690	AT1G27690	normal	no	yes
at1g27700	AT1G27700	normal	no	no
at1g27730	STZ	normal	no	no
