ID	official_symbol	differentially_expressed	kinase_function	phosphorylation_site
at1g01240	AT1G01240	no	no	no
at1g01260	AT1G01260	no	no	no
at1g01370	HTR12	no	no	no
at1g01430	TBL25	no	no	no
at1g01560	MPK11	no	yes	no
at1g01620	PIP1C	no	no	no
at1g01725	AT1G01725	no	no	no
at1g01800	AT1G01800	no	no	no
at1g02170	AMC1	no	no	yes
at1g02690	IMPA-6	no	no	no
at1g02810	AT1G02810	no	no	no
at1g02850	BGLU11	no	no	yes
at1g02970	WEE1	no	yes	no
at1g03250	AT1G03250	no	no	no
at1g03270	AT1G03270	no	no	no
at1g03380	ATG18G	no	no	no
at1g03470	AT1G03470	no	no	no
at1g03970	GBF4	no	no	yes
at1g04020	BARD1	no	no	yes
at1g04250	AXR3	no	no	no
at1g04310	ERS2	no	yes	no
at1g04820	TUA4	no	no	yes
at1g05010	EFE	no	no	no
at1g05560	UGT75B1	no	no	no
at1g05710	AT1G05710	no	no	no
at1g06220	MEE5	no	no	yes
at1g06225	CLE3	no	no	no
at1g06640	AT1G06640	no	no	no
at1g06680	PSBP-1	no	no	yes
at1g06700	AT1G06700	no	no	no
at1g06760	AT1G06760	no	no	no
at1g06840	AT1G06840	no	yes	yes
at1g07000	EXO70B2	no	no	yes
at1g07140	SIRANBP	no	no	yes
at1g07160	AT1G07160	no	no	no
at1g07240	UGT71C5	no	no	no
at1g07270	AT1G07270	no	no	yes
at1g07370	PCNA1	no	no	no
at1g07430	HAI2	no	no	no
at1g07450	AT1G07450	no	no	no
at1g07650	AT1G07650	no	yes	yes
at1g07750	AT1G07750	no	no	no
at1g08060	MOM	no	no	yes
at1g08090	NRT2:1	no	no	yes
at1g08560	SYP111	no	no	no
at1g08630	THA1	no	no	no
at1g08810	MYB60	no	no	no
at1g08830	CSD1	no	no	no
at1g08930	ERD6	no	no	yes
at1g08980	AMI1	no	no	no
at1g09000	NP1	no	yes	no
at1g09080	BIP3	no	no	yes
at1g09100	RPT5B	no	no	yes
at1g09200	AT1G09200	no	no	no
at1g09250	AT1G09250	no	no	yes
at1g09270	IMPA-4	no	no	no
at1g09415	NIMIN-3	no	no	no
at1g09530	PIF3	no	no	no
at1g09570	PHYA	no	yes	no
at1g10020	AT1G10020	no	no	yes
at1g10360	GSTU18	no	no	no
at1g10470	ARR4	no	yes	yes
at1g10760	SEX1	no	yes	yes
at1g11000	MLO4	no	no	no
at1g11050	AT1G11050	no	yes	no
at1g11310	MLO2	no	no	yes
at1g11330	AT1G11330	no	yes	yes
at1g11350	SD1-13	no	yes	yes
at1g11600	CYP77B1	no	no	no
at1g11840	GLX1	no	no	no
at1g12110	NRT1.1	no	no	no
at1g12220	RPS5	no	no	no
at1g12310	AT1G12310	no	no	no
at1g12360	KEU	no	no	yes
at1g12460	AT1G12460	no	yes	no
at1g12480	OZS1	no	no	no
at1g12520	CCS	no	no	no
at1g12570	AT1G12570	no	no	no
at1g12860	SCRM2	no	no	no
at1g13210	ACA.l	no	no	no
at1g13580	LAG13	no	no	yes
at1g13600	bZIP58	no	no	no
at1g13870	DRL1	no	no	yes
at1g14370	APK2A	no	yes	no
at1g14400	UBC1	no	no	no
at1g14440	HB31	no	no	no
at1g14540	AT1G14540	no	no	no
at1g14560	AT1G14560	no	no	yes
at1g14920	GAI	no	no	no
at1g15170	AT1G15170	no	no	no
at1g15210	PDR7	no	no	yes
at1g15260	AT1G15260	no	no	no
at1g15400	AT1G15400	no	no	yes
at1g15550	GA3OX1	no	no	no
at1g15570	CYCA2;3	no	no	yes
at1g15670	AT1G15670	no	no	yes
at1g15760	AT1G15760	no	no	no
at1g15820	LHCB6	no	no	yes
at1g16070	TLP8	no	no	no
at1g16170	AT1G16170	no	no	yes
at1g16260	AT1G16260	no	yes	yes
at1g16330	CYCB3;1	no	yes	yes
at1g17080	AT1G17080	no	no	no
at1g17180	GSTU25	no	no	no
at1g17190	GSTU26	no	no	no
at1g17200	AT1G17200	no	no	yes
at1g17420	LOX3	no	no	no
at1g17745	AT1G17745	no	no	yes
at1g17830	AT1G17830	no	no	no
at1g17970	AT1G17970	no	no	no
at1g18040	CDKD1;3	no	yes	no
at1g18080	ATARCA	no	no	no
at1g18350	MKK7	no	yes	no
at1g18390	AT1G18390	no	yes	yes
at1g18570	MYB51	no	no	no
at1g18650	PDCB3	no	no	no
at1g18890	CDPK1	no	yes	yes
